ACTDT,YEAR,YR_QTR,ACTION,APP_NO,FM,NUMBER,STREET,ST_TYPE,BLOCK,LOT,BLOCKLOT,DESCRIPT,EXT_USE,PROP_USE,AFF_HSG,AFF_TARGET,UNITS,NETUNITS,planning_district_number,planning_district,supervisor_district,analysis_neighborhood,the_geom
2005/04/14,2005,2005_Q2,CFC ISSUED,200406186770,3,851,POST,ST,0303,017,0303017,CORRECT T,,,0,,0,1,4,Downtown,6,Tenderloin,"(37.787067758867, -122.415820161209)"
2005/12/31,2005,2005_Q4,ok,200502145473,3,274,CRESCENT,AV,5806,025,5806025,CONVERT (,,,0,,0,1,11,Bernal Heights,9,Bernal Heights,"(37.734827220436, -122.419130150102)"
2009/10/30,2009,2009_Q4,CFC ISSUED,200712281544,2,242,SAGAMORE,ST,7137,016,7137016,ERECT A NEW TWO STORY SINGLE FAMILY HOUSE.,,1 FAMILY DWELLING,0,,1,1,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.711689428341, -122.46066156735)"
2014/06/16,2014,2014_Q2,CFC ISSUED,201311061289,8,2209,CAYUGA,AV,7145,088,7145088,"COMPLY WITH COMPLAINT #201330791. REMOVE UNPERMITTED KITCHEN AT GROUND FLOOR, LEGALIZED home OFFICE, 2 BATHROOMS, BEDROOM & LAUNDRY AT GROUND FLOOR.",2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,-1,12,South Central,11,Outer Mission,"(37.70988962555, -122.45473195316)"
2013/03/19,2013,2013_Q1,CFC ISSUED,200603086237,2,443,VERNON,ST,6995,055,6995055,,,1 FAMILY DWELLING,0,,1,1,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.720471097724, -122.468351370173)"
2010/06/10,2010,2010_Q2,CFC ISSUED,200807217177,2,62,WHITNEY YOUNG,CR,4711,206,4711206,"ERECT A 2-STORY, SINGLE FAMILY DWELLING UNIT BUILDING.",,1 FAMILY DWELLING,1,SEC,1,1,10,South Bayshore,10,Bayview Hunters Point,"(37.733511202185, -122.383262902913)"
2015/06/16,2015,2015_Q2,PRE-FINAL,201409085768,8,430,IRVING,ST,1754,012,1754012,"CHANGE OF OCCUAPNCY FOR R3 TO R2 - CONVERT AN OFFICE SPACE ON THE LOWER LEVEL OF A 2 UNITS RESIDENTIAL BLDG INTO 2 BEDROOM APT. NEW KITCHEN, BATH,.  Building must be sprinklered through-out to NFPA 13.  Sprinkler system and fire alarm submittals under se",APARTMENTS,APARTMENTS,0,,3,1,14,Inner Sunset,5,Inner Sunset,"(37.764468374644, -122.462641093562)"
2014/06/17,2014,2014_Q2,COMPLETE,201303293418,3,1927,GOLDEN GATE,AV,1158,037,1158037,CONVERT BUILDING FROM SINGLE FAMILY TO 2 UNIT DWELLING. TOP FLOOR TO BE NEW UNIT.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,5,Western Addition,5,Lone Mountain/USF,"(37.778028651936, -122.442379174821)"
2011/10/06,2011,2011_Q3,CFC ISSUED,201010263775,8,2627,LOMBARD,ST,0939,036,0939036,convert existing 2nd. floor office to residential. Revision to Bpa#201004220866 to reduce the scope of work by eliminating rear horizontal addition.,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,1,2,Marina,2,Marina,"(37.798466539006, -122.444806584627)"
2013/01/22,2013,2013_Q1,CFC ISSUED,201301178178,8,50,CARR,ST,5462,014,5462014,,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,10,South Bayshore,10,Bayview Hunters Point,"(37.721767583473, -122.397242086296)"
2016/06/22,2016,2016_Q2,PRE-FINAL,200912223674,2,298,COLEMAN,ST,4591C,098,4591C098,TO ERECT 3 STORY TYPE 5 12 UNITS RESIDENTIAL WITH PARKING,,APARTMENTS,1,MOD,12,12,10,South Bayshore,10,Bayview Hunters Point,"(37.727652830494, -122.368922452882)"
2012/11/14,2012,2012_Q4,CFC ISSUED,200703095886,2,2255,PINE,ST,0660,027,0660027,,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,1,5,Western Addition,5,Pacific Heights,"(37.78777878962, -122.432912973851)"
2011/10/24,2011,2011_Q4,CFC ISSUED,201101279167,3,1450,SANCHEZ,ST,6602,001,6602001,Convert (e) basement to 2-bedroom apartment. (add kitchen & (n) front door & side parking only). Revision to appl.#201011175109. (Ground flr. convertion).,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Noe Valley,"(37.745788851127, -122.429318405565)"
2005/12/20,2005,2005_Q4,FINAL INSPECT/APPRVD,200211010541,6,42,BEAUMONT,AV,1086,022,1086022,DEMOLISH,,,0,,0,-1,1,Richmond,1,Lone Mountain/USF,"(37.780805992429, -122.454836054351)"
2011/12/15,2011,2011_Q4,PRE-FINAL,200707308102,1,19,TEHAMA,ST,3736,079,3736079,"ERECT 5 STORY, 4 DWELLING UNITS & RETAIL BUILDING. 1 story type I and 4 story type V1- Sprinklers, fire alarm. standpipe separate permit- No site plan--",,APARTMENTS,0,,4,4,9,South of Market,6,Financial District/South Beach,"(37.7875380118, -122.395930899593)"
2006/10/17,2006,2006_Q4,CFC ISSUED,200401063372,2,1551,JERROLD,AV,5278,019,5278019,ERECT 2 STORIES OF 1 SINGLE FAMILY DWELLING.,,1 FAMILY DWELLING,0,,1,1,10,South Bayshore,10,Bayview Hunters Point,"(37.738085291897, -122.388691220999)"
2005/03/08,2005,2005_Q1,CFC ISSUED,200209307802,2,139,RANDALL,ST,6663,036,6663036,ERECT A 2,,,0,,0,2,7,Central,8,Glen Park,"(37.739508209496, -122.426428261264)"
2005/12/01,2005,2005_Q4,CFC ISSUED,200511188537,8,1854,FILBERT,ST,0519,014,0519014,TO CLARIF,,,0,,0,-1,2,Marina,2,Marina,"(37.798954486255, -122.430075461525)"
